,user,date,renderedContent
0,BolaNusantaraID,2023-06-16 06:28:06+00:00,"Lionel Messi Dikabarkan Batal Perkuat Argentina Lawan Timnas Indonesia, Ini Jawaban Berkelas Rafael Struick

https://t.co/sIbaN1NDF7"
1,BolaSportcom,2023-06-16 05:49:00+00:00,"Absennya Lionel Messi membuat akun FIFA bereaksi. Akun resmi yang dimaksud adalah FIFA World Cup yang memposting khusus usai Lionel Messi batal ke Indonesia
https://t.co/l6oW3rb88Z"
2,tribunSUPERBALL,2023-06-16 05:49:00+00:00,"Absennya Lionel Messi membuat akun FIFA bereaksi. Akun resmi yang dimaksud adalah FIFA World Cup yang memposting khusus usai Lionel Messi batal ke Indonesia
https://t.co/nFzt6i79Bw"
3,tempodotco,2023-06-16 05:48:45+00:00,"Batal Ikut Timnas Argentina ke Indonesia, Lionel Messi: Saya Mau Liburan https://t.co/byFtH8yNu6"
4,BolaSportcom,2023-06-16 05:36:30+00:00,"Ternyata Orang Ini yang Bikin Lionel Messi Batal Main di Indonesia

https://t.co/mJSeHTeIrp https://t.co/SxbStApyDb"
5,tempodotco,2023-06-16 04:53:02+00:00,"Batal Ikut Timnas Argentina ke Indonesia, Lionel Messi: Saya Mau Liburan #TempoBola https://t.co/nGHXXt67jb"
6,liputan6dotcom,2023-06-16 04:36:02+00:00,VIDEO: Lionel Messi Batal ke Indonesia - Perang Saudara Warnai Indonesia Open 2023 https://t.co/UVBG8jgHmT
7,liputan6dotcom,2023-06-16 04:35:03+00:00,VIDEO: Lionel Messi Batal ke Indonesia - Perang Saudara Warnai Indonesia Open 2023 https://t.co/dG3o1wMU8j
8,mapaybandungcom,2023-06-16 04:16:33+00:00,"FIX! Lionel Messi Batal ke Indonesia, Pelatih Argentina: Ini Adalah Keputusan Saya https://t.co/Q3mm0Tl5ts"
9,tempodotco,2023-06-16 04:00:03+00:00,Lionel Messi Batal ke Indonesia karena Keputusan Pelatih Timnas Argentina Lionel Scaloni #TempoBola https://t.co/eAULgt7eco
10,Bola206_Sbobet,2023-06-16 03:53:48+00:00,"BREAKING NEWS - TAK HANYA LIONEL MESSI, 2 BINTANG ARGENTINA JUGA BATAL LAWAN TIMNAS INDONESIA
https://t.co/u5Nixfxdk6 https://t.co/5t715sXL3F"
11,VIVAbola,2023-06-16 03:12:05+00:00,Ternyata Ini yang Bikin Lionel Messi Batal ke Indonesia https://t.co/vAQLuDSZ1C
12,tribunkaltim,2023-06-16 03:00:18+00:00,"Ternyata tak cuma Lionel Messi, 2 pemain bintang Timnas Argentina juga dikabarkan batal ke Indonesia
https://t.co/TYmlJvdNkV
#Argentina #TimnasDay #TimnasIndonesia #beritaterkini #beritaterbaru"
13,tempodotco,2023-06-16 02:58:04+00:00,"Diisukan Batal ke Indonesia, Lionel Messi, Angel Di Maria, dan Nicolas Otamendi Tak Ikut Latihan Timnas Argentina #TempoBola https://t.co/BKmpfuhjUt"
14,Riau24Com,2023-06-16 02:21:02+00:00,"Lionel Messi, Di Maria dan Nicolas Otamendi Batal ke Indonesia, Gegara Keputusan Lionel Scaloni  https://t.co/WlRfhHaC6l"
15,tvOneNews,2023-06-16 02:02:16+00:00,Terungkap! Sosok Ini yang Buat Lionel Messi Batal ke Indonesia https://t.co/pDZQoRq5uT
16,Bolanet,2023-06-16 02:00:00+00:00,"Lionel Messi batal ikut ke Indonesia gara-gara keputusan Lionel Scaloni!
https://t.co/3RSKbzI034"
17,Info_BolaIndo,2023-06-16 01:47:37+00:00,Terungkap! Lionel Messi Batal Ikut ke Indonesia Gara-Gara Keputusan Lionel Scaloni https://t.co/X0qEeKFN9k
18,bolaitubandar,2023-06-16 01:32:15+00:00,Terungkap! Lionel Messi Batal Ikut ke Indonesia Gara-Gara Keputusan Lionel Scaloni https://t.co/VHZp1jkNcq
19,HeruTri34821752,2023-06-16 00:17:18+00:00,"BREAKING NEWS - Tak Hanya Lionel Messi, 2 Bintang Argentina Juga Batal Lawan Timnas Indonesia https://t.co/i6wxVXhims

Download aplikasi https://t.co/c7IQoTSzuk untuk akses berita lebih mudah dan cepat:
Android: https://t.co/5oKuEWhakZ"
20,anakmiddle2,2023-06-15 23:53:14+00:00,"Lionel Messi, Angel Di Maria, dan Nicolas Otamendi dipastikan batal bertandang ke Indonesia, ternyata ini penyebabnya
https://t.co/Ph1uPb80yJ"
21,Bolanet,2023-06-15 23:50:00+00:00,"Alasan Lionel Messi Batal ke Indonesia, Ini Bocoran Media Argentina https://t.co/oSrVh50Eaq"
22,Bolanet,2023-06-15 23:35:03+00:00,Terungkap! Lionel Messi Batal Ikut ke Indonesia Gara-Gara Keputusan Lionel Scaloni https://t.co/ib6WVwPRYm
23,jakartaitukunci,2023-06-15 23:15:00+00:00,"Selain Lionel Messi, Angel Di Maria dan Nicolas Otamendi Juga Batal ke Jakarta Lawan Timnas Indonesia https://t.co/4qDbPvo0dE"
24,okezonenews,2023-06-15 23:01:28+00:00,"Agenda Lionel Messi setelah batal ke Indonesia. .

 #Okezone #Bola #SepakBola #SepakbolaDunia #BolaDunia . https://t.co/ZjMDMgbEjY"
25,LigaIDN_Sbobet,2023-06-15 22:49:17+00:00,"BREAKING NEWS – Tak Hanya Lionel Messi, 2 Bintang Argentina Juga Batal Lawan Timnas Indonesia https://t.co/afqLD5ryyx via @pinterest https://t.co/PvCdE6PebX"
26,jpnncom,2023-06-15 22:37:04+00:00,"Pelatih Timnas Argentina Bongkar Penyebab Lionel Messi Batal ke Indonesia, Ternyata! #LionelMessi https://t.co/kua5yXbxsz"
27,JTK_15,2023-06-15 21:03:39+00:00,"FIFA Matchday: Susul Lionel Messi, Angel Di Maria dan Nicholas Otamendi Batal Lawan Timnas Indonesia  https://t.co/jHgOklLUqt  @Argentina #FIFAmatchday #KitaGaruda #Timnasday #BangkitBersama #dimaria #otamendi @erickthohir"
28,Info_BolaIndo,2023-06-15 19:54:06+00:00,"Alasan Lionel Messi Batal ke Indonesia, Ini Bocoran Media Argentina https://t.co/Fk3v3Xw0lK"
29,jakartaitukunci,2023-06-15 16:17:05+00:00,"#LionelMessi

Selain Lionel Messi, Angel Di Maria dan Nicolas Otamendi Juga Batal ke Jakarta Lawan Timnas Indonesia https://t.co/4qDbPvo0dE"
30,turunminum_id,2023-06-15 12:38:45+00:00,"Tanggapan Shin Tae-yong tentang kabar Lionel Messi batal ke Indonesia untuk #FIFAMatchDay 
#messi https://t.co/qRs3r4tAP1"
31,inilahdotcom,2023-06-15 12:06:40+00:00,"🚨🔥Akun instagram Mega bintang timnas Argentina, Lionel Messi diserang netizen Indonesia lantaran ramainya isu batal Messi terbang ke Indonesia.

Hal itu disampaikan salah seorang jurnalis Argentina bernama Leo Paradizo. Melalui laman Twitter pribadinya @leoparadizo. Ia menyebut mantan pemain Paris Saint-Germain itu hanya akan mengikuti satu laga FIFA Matchday melawan Australia yang akan diselenggarakan di Beijing China, Kamis (15/6/2023).

Oleh karenanya, netizen Indonesia berbondong-bondong 'silaturahmi' ke akun Instagram Messi meminta untuk berangkat dan bertanding ke Indonesia."
32,tribunnews,2023-06-15 10:30:38+00:00,"Pemain sinetron dan presenter Aldi Taher menciptakan lagu Why Mister Messi Why.
Lagu tersebut merupakan respon Aldi Taher setelah megabintang Lionel Messi dipastikan batal tampil saat Timnas Argentina bertanding melawan Indonesia, Senin (19/6/2023). (ld)
https://t.co/5w7LwQjtvh."
33,KATADATAcoid,2023-06-15 09:04:43+00:00,"Ketua PSSI Erick Thohir angkat bicara soal kabar Lionel Messi batal ikut bertanding di laga FIFA Matchday Indonesia vs Argentina pada 19 Juni 2023 di Stadion GBK. 

Baca selengkapnya: https://t.co/pCbBrQueke #Berita #ErickThohir #PSSI #Messi #Argentina https://t.co/aIc0JCI49g"
34,FIMELAdotcom,2023-06-15 08:31:09+00:00,"Heboh, Lagu Ciptaan Aldi Taher Diunggah di Akun Instagram FIFA: Kabar soal Lionel Messi yang batal datang ke Indonesia membuat masyarakat kecewa, termasuk Aldi Taher. https://t.co/EsCSrYZYn8"
35,netralnews,2023-06-15 07:54:58+00:00,"Akun resmi FIFA menotice Aldi Taher karena buatkan lagu tentang Lionel Messi berjudul ""Why Mister Messi Why"". Hal ini dikarenakan Lionel Messi batal tampil saat melawan Indonesia nanti.
https://t.co/wxMsIYsLnX
https://t.co/gnzCRrMZCf"
36,kaltenglima,2023-06-15 05:29:56+00:00,"Lionel Messi Dikabarkan Batal ke Indonesia, Aldi Taher Ciptakan Lagu Hingga Diunggah Oleh Akun Fifa World Cup
https://t.co/OeMrHoDDMn"
37,dahSyatMusik,2023-06-15 05:19:07+00:00,"Sindir Lionel Messi Batal ke Indonesia, Ini Lagu Aldi Taher yang Viral Diunggah FIFA World Cup! #NewsRCTIPlus @RCTIPlus
https://t.co/4E4U3Cv0UP"
38,enakdikocok,2023-06-15 04:53:55+00:00,"Kita tunggu fakta sebenarnya!

PSSI Bantah Rumor Lionel Messi Batal Merumput di Stadion GBK Senayan https://t.co/gTB7p6nxoX"
39,okezonenews,2023-06-15 04:00:01+00:00,Ketua Umum PSSI Erick Thohir mengatakan belum menerima kabar batal datangnya Lionel Messi dari Federasi Sepakbola Argentina https://t.co/vBSWjaCCvl
40,Hulondaloid,2023-06-15 03:33:00+00:00,"Dikabarakan Batal ke Indonesia,  Aldi Taher Ciptakan Lagu untuk Lionel Messi, Ini Lirik Lagunya 

https://t.co/ppzAeSvpng"
41,anakmiddle2,2023-06-15 03:19:32+00:00,"Menpora ikut menanggapi keriuhan masyarakat yang patah hati karena Lionel Messi batal bertandang ke Jakarta
https://t.co/YTUMRpK4Xp"
42,anakmiddle2,2023-06-15 03:18:21+00:00,"Diserbu netizen yang kecewa karena Lionel Messi batal berlaga, Erick Thohir angkat bicara
https://t.co/RDC16JD5TF"
43,tvOneNews,2023-06-15 03:03:45+00:00,"Lionel Messi Batal ke Indonesia, Aldi Taher Bikin Lagu, Akun Instagram Resmi FIFA Langsung Merespons https://t.co/DG0Nkais1U"
44,celebterkini,2023-06-15 02:53:46+00:00,"Lionel Messi batal ke Indonesia, Aldi Taher ciptakan lagu begini
#CelebritiesDotID #InfoCelebTerkini 
https://t.co/nFaITtMlAq"
45,arungbudoyo,2023-06-15 02:36:31+00:00,"Saya justru senang Lionel Messi batal ke Indonesia. 

Sudah sampai bikin video settingan dan mencatut nama Chiqui, eh megabintangnya gagal datang. 

Gagal deh foto senyam-senyum bareng La Pulga. 

🤪"
46,VideoTRIBUN,2023-06-15 01:36:00+00:00,"Sempat Diupload FIFA, Lionel Messi Dinyanyikan Lagu Oleh Aldi Taher karena Batal ke Indonesia. Selengkapnya&gt; https://t.co/V66POjpzxv

#alditaher  #Messi  #FIFAMatchDay  #Sepakbola https://t.co/UIjZNq88ul"
47,fransiskus_teco,2023-06-15 00:51:55+00:00,Kabar soal Lionel Messi batal ke Indonesia berdampak pada animo suporter. Berembus kabar bahwa pembeli akan refund tiket untuk pertandingan Timnas Indonesia melawan Argentina. https://t.co/2uM1rQqzDK
48,netmediatama,2023-06-15 00:00:01+00:00,Erick Thohir Berikan Tanggapan Terkait Batalnya Lionel Messi Batal Ke Indonesia https://t.co/GUsouVWn1u
49,liputan6dotcom,2023-06-14 20:18:33+00:00,"Kecewa Lionel Messi Batal ke Indonesia, Aldi Taher Bikin Lagu Khusus yang Kemudian Diputar di Akun Instagram Resmi FIFA https://t.co/9Fu8N1ISJO"
50,ber2dulu,2023-06-14 16:32:36+00:00,Aldi Taher Bikin Lagu Buat Lionel Messi karena Batal ke Indonesia: 'We Waiting For You' https://t.co/vTEjJd0TZI https://t.co/71ZTT27IvK
51,Bolanet,2023-06-14 15:00:03+00:00,"Erick Thohir Soal Rumor Lionel Messi Batal ke Jakarta: Ini Laga Timnas Indonesia vs Argentina, Bukan Messi All-Stars https://t.co/YQNwg2RPCK"
52,tribunjateng,2023-06-14 14:45:09+00:00,"Gaston Edul Pastikan Lionel Messi Batal ke Indonesia, Masih Ada Bintang Lainnya di Timnas Argentina
 
https://t.co/xhSY7U0RZZ"
53,jabarekspres,2023-06-14 14:30:32+00:00,"Editor : Jabar ekspres/Azriel G
Grafis : Rangga

#jabarekspres #messibatalkeindonesia #IndonesiavsArgentina #megabintang #intermiami #Messi #Batal #LionelMessi #TimnasIndonesia #TimnasDay"
54,jabarekspres,2023-06-14 14:30:29+00:00,"Netizen kecewa, Messi batal ke Indonesia dan lawan timnas di GBK
-
Mega bintang dunia asal Argentina, Lionel Messi dikabarkan batal ke Indonesia untuk melawan timnas pada 19 Juni 2023. Kabar Messi batal ke Indonesia dikonfirmasi oleh jurnalis ESPN Argentina. https://t.co/fbuLl0PD6j"
55,liputan6dotcom,2023-06-14 14:13:33+00:00,"Lionel Messi Dikabarkan Batal ke Indonesia dan Malah Pergi Liburan, Erick Thohir Beri Tanggapan https://t.co/6GK9aS1tWq"
56,okezonenews,2023-06-14 14:00:03+00:00,"Batal ke Indonesia, Lionel Messi Juga Pastikan Trofi Ballon dOr Tak Lagi Penting Baginya. .

 #Okezone #Bola #SepakBola #SepakbolaDunia #BolaDunia . https://t.co/twF0qUNSz4"
57,tribunSUPERBALL,2023-06-14 12:25:00+00:00,"Puluhan ribu warganet Indonesia menyerbu akun instagram Lionel Messi usai La Pulga dikabarkan batal ke Jakarta bersama timnas Argentina pada 19 Juni 2023 mendatang

Selengkapnya 👇
https://t.co/PdrtGJupDw"
58,BolaSportcom,2023-06-14 12:25:00+00:00,"Puluhan ribu warganet Indonesia menyerbu akun instagram Lionel Messi usai La Pulga dikabarkan batal ke Jakarta bersama timnas Argentina pada 19 Juni 2023 mendatang

Selengkapnya 👇
https://t.co/tDaEn21zkV"
59,rickyvan19,2023-06-14 12:12:28+00:00,"Usai Batal ke Indonesia, Lionel Messi Juga Putuskan Pensiun dari Timnas Argentina?
https://t.co/ionulQgFld"
60,tribunjateng,2023-06-14 11:49:33+00:00,"Gaston Edul Pastikan Lionel Messi Batal ke Indonesia, Masih Ada Bintang Lainnya di Timnas Argentina
 
https://t.co/xhSY7U1pPx"
61,LScorebola,2023-06-14 10:58:33+00:00,Lionel Messi Batal ke Indonesia dan Tidak Akan Tampil Piala Dunia 2026 https://t.co/YfvQoutpGs
62,okezonenews,2023-06-14 10:30:00+00:00,"Media Vietnam Bahas Alasan Lionel Messi Batal ke Indonesia, Tanda Bahagia?

https://t.co/ShCw0UOqNt"
63,wow_keren,2023-06-14 10:12:33+00:00,Nama Raffi Ahmad Ikut Terseret Usai Messi Disebut Batal Ke Indonesia #RaffiAhmad #LionelMessi https://t.co/y3ifoN2yhR &amp;utm_medium=social&amp;utm_source=twitter
64,Alonesiacom,2023-06-14 10:05:17+00:00,Lionel Messi Batal Datang Ke Indonesia! https://t.co/bGfSETwMKH
65,BolaNusantaraID,2023-06-14 09:29:31+00:00,"Dapat Restu dari Pelatih Timnas Argentina, Lionel Messi Resmi Batal Terbang ke Indonesia?

https://t.co/zNItNDfq8r"
66,Lip6Tekno,2023-06-14 09:02:05+00:00,"Warga Tanah Air Tergocek, Lionel Messi Batal Tampil di Laga Argentina vs Indonesia https://t.co/ZIEfSjNyjU"
67,BumiSumber,2023-06-14 08:51:36+00:00,"@SiaranBolaLive Aduhhh ngeprank lagi.. gmn ini sudara, batal deh pergi nonton Lionel Messi"
68,kaltenglima,2023-06-14 08:38:13+00:00,"Lionel Messi Dipastikan Batal Ikut Timnas Argentina ke Indonesia
https://t.co/8xzyZzRj4H"
69,InfoJktCom,2023-06-14 08:27:11+00:00,Akun Lionel Messi Diserbu Warganet Indonesia Usai Dikabarkan Batal ke Jakarta karena ... https://t.co/LKhcln0nfe
70,sport_news_id,2023-06-14 08:18:50+00:00,"Lionel Messi batal ke Indonesia, apakah Julian Alvarez bakal ke Jakarta? #julianalvarez #lionelmessi #mancity #indonesiavsargentina

https://t.co/r9yTWfLxjg"
71,PortibiD,2023-06-14 08:12:13+00:00,Masih seputar Lionel Messi Batal Dilaga FIFA Matchday lawan Timnas Indonesia? https://t.co/QNGJVuePcx
72,Lip6Tekno,2023-06-14 08:09:10+00:00,Warganet Geruduk Akun Instagram Lionel Messi Gara-Gara Kabar Batal ke Indonesia: Bang Minimal Datang Lah https://t.co/hMFqcelqsv
73,1011mgtradio,2023-06-14 07:00:30+00:00,Dua jurnalis Argentina mengonfirmasi Lionel Messi batal tampil pada laga FIFA matchday melawan Timnas Indonesia di Jakarta pada 19 Juni mendatang. #MGTRADIO #MGTSport #MGTPlay https://t.co/lLHvT2IxQg
74,liputan6dotcom,2023-06-14 06:56:35+00:00,Pernyataan Erick Thohir Soal Kabar Lionel Messi Batal Datang dalam Laga Indonesia VS Argentina https://t.co/oh09ZaNZLy
75,Bravaradio,2023-06-14 06:00:53+00:00,Faktor Kuat Penyebab Lionel Messi Batal ke Indonesia https://t.co/Wr6fLb8F79
76,jpnncom,2023-06-14 05:19:03+00:00,"Indonesia vs Argentina: Lionel Messi Batal Hadir? Inilah Hasil Survei, Oh Ternyata #LionelMessi https://t.co/wj13mIn9Uc"
77,jatengnetwork,2023-06-14 04:52:39+00:00,"Lionel Messi Batal ke Indonesia, Tagar 'Refund' Trending di Twitter https://t.co/t4AKGs2Lhc"
78,Saripatihkembar,2023-06-14 04:48:13+00:00,"LIONEL MESSI Batal ke Indonesia, Gaston Edul: Dia Tidak akan Berangkat ke Indonesia https://t.co/1dPMlJNdPu"
79,moneydotid,2023-06-14 04:42:41+00:00,"Lionel Messi Batal ke Jakarta, Erick Thohir: Ini Laga Timnas Indonesia vs Argentina https://t.co/t65D5XkRx1"
80,otonomicoid,2023-06-14 04:37:48+00:00,"Lionel Messi Batal ke Jakarta, Erick Thohir: Ini Laga Timnas Indonesia vs Argentina https://t.co/fEQoOyoVHf"
81,newscast_id,2023-06-14 04:36:11+00:00,"Lionel Messi Batal ke Jakarta, Erick Thohir: Ini Laga Timnas Indonesia vs Argentina https://t.co/QYthAmOEZ0"
82,indosportdotcom,2023-06-14 03:41:13+00:00,"Ketua umum PSSI, Erick Thohir berkomentar setelah ramai perbincangan bahwa mega bintang Lionel Messi batal terbang ke Indonesia. 

Kabar tersebut muncul dari Geston Edul, jurnalis Argentina. Kabar tersebut membuat kecewa para pecinta sepakbola di Indonesia. https://t.co/gFVGy0FbAx"
83,Bolanet,2023-06-14 03:30:00+00:00,"Begini tanggapan Erick Thohir soal rumor Lionel Messi batal ke Jakarta...
https://t.co/4F9F5dyc0R"
84,InfoJktCom,2023-06-14 02:26:37+00:00,Erick Thohir Soal Rumor Lionel Messi Batal ke Jakarta: Ini Laga Timnas Indonesia vs ... - https://t.co/YcCaq75GPb https://t.co/nxdMaM4hd5
85,HeraldSulsel,2023-06-14 02:25:07+00:00,"Ketua Umum PSSI Erick Thohir memberikan tanggapannya soal kabar Lionel Messi yang batal ikut dalam pertandingan antara Indonesia melawan Timnas Argentinadi Stadion Utama Gelora Bung Karno (GBK) pada 19 Juni mendatang.#PSSI #ErickThohir #TimnasIndonesia 
 
https://t.co/ENmBFXp1Sv"
86,ErsatArema021,2023-06-14 01:21:31+00:00,"Kabarnya LIONEL MESSI batal datang ke Indonesia. Kemungkinan besar MESSI khawatir malu kalau tiba2 TIM ARGENTINA kalah melawan PSSI ALL STAR.

*)PSSI dilawan. Belum tahu dia. PSSI dipimpin Erick Tohir sekarang sudah memilik ""TIM KELAS DUNIA""😯"
87,Davidlodbroke,2023-06-14 00:59:47+00:00,"Lionel Messi BATAL Ikut Argentina ke Indonesia, Bintang Inter Milan di Final UCL Siap Jadi Pengganti?

https://t.co/FTSVKnwvMC"
88,Bolanet,2023-06-14 00:01:35+00:00,"Erick Thohir Soal Rumor Lionel Messi Batal ke Jakarta: Ini Laga Timnas Indonesia vs Argentina, Bukan Messi All-Stars https://t.co/NLN31PKHyO"
89,MedanKabar,2023-06-14 00:00:07+00:00,"berkah4d - Batal ke Indonesia, Lionel Messi Juga Pastikan Trofi Ballon dOr Tak Lagi Penting Baginya : Okezone Bola
https://t.co/LWjnIO1gU9
#infoslotgacor #slotgacor #slotindonesia #gameslotgacor https://t.co/jI47KOozWO"
90,VIVAbola,2023-06-14 00:00:02+00:00,Kabar Lionel Messi Batal ke Indonesia Makin Kuat https://t.co/OtNG2tOOhb
91,jakartaitukunci,2023-06-13 23:58:26+00:00,"LIONEL MESSI Batal ke Indonesia, Gaston Edul: Dia Tidak akan Berangkat ke Indonesia https://t.co/3GLcOmpbsQ"
92,jakartaitukunci,2023-06-13 23:35:25+00:00,"LIONEL MESSI Batal ke Indonesia, Gaston Edul: Dia Tidak akan Berangkat ke Indonesia https://t.co/3GLcOmpbsQ"
93,VIVAbola,2023-06-13 23:20:33+00:00,Menpora Tanggapi Rumor Lionel Messi Batal ke Indonesia https://t.co/5M8UDVvmxm
94,tvOneNews,2023-06-13 23:03:02+00:00,"Akun Instagram Lionel Messi Diserbu Netizen Imbas Batal Tanding Melawan Timnas Indonesia, Komentarnya Nyelekit https://t.co/oW0NooIPcP"
95,PostingnewsId,2023-06-13 19:52:04+00:00,"Lionel Messi Fix Batal Datang ke Indonesia, Ini Alasannya! https://t.co/9EDf0vDkFW"
96,WaspadaOnline,2023-06-13 17:23:52+00:00,Resmi! Lionel Messi Batal Datang ke Indonesia https://t.co/Azis7q8WzP
97,PGBET_Official,2023-06-13 17:14:38+00:00,"Namun hingga sekarang belum ada keterangan resmi dari AFA atau Federasi sepak bola Argentina.
Begitu juga dengan jurnalis yang dekat dengan Argentina dan Lionel Messi, Gaston Edul.

Hmm apa kah beneran MESSI batal ke INDONESIA ⁉️

#FIFAMatchDay #Indonesia #Argentina #LionelMessi"
98,PGBET_Official,2023-06-13 17:14:05+00:00,"MESSI BATAL KE INDONESIA⁉️😱

Di tengah euforia kehadiran 🇦🇷Argentina, dimana Lionel Messi yang paling ditunggu, fans Argentina di Indonesia sedang harap-harap cemas.🥲
Soalnya santer diberitakan media dan jurnalis Argentina, 
(a thread) https://t.co/XlyE07tYuj"
99,MNCSportstars,2023-06-13 14:40:01+00:00,"Lionel Messi dipastikan batal ikut Timnas Argentina ke Indonesia 💔

Jurnalis TyC, Gaston Edul memastikan Lionel Messi hanya akan membela timnya saat melawan Australia dalam FIFA Matchday di China. Setelah itu, dia tidak akan tampil dalam laga kedua melawan Timnas Indonesia. https://t.co/GwElC3icZL"
100,officialinews_,2023-06-13 14:28:00+00:00,"Anggota Komite Eksekutif (EXCO) PSSI, Ahmad Riyadh, membantah kabar yang menyebutkan bahwa Lionel Messi batal datang ke Indonesia dan melakoni laga FIFA Matchday Indonesia vs Argentina. YLD

#iNews #PSSI #FIFA #Argentina #TimnasIndonesia #LionelMessi #FIFAMatchday https://t.co/uamMo64N1b"
101,beritainbola,2023-06-13 14:10:29+00:00,"Penyebab Lionel Messi batal ke Indonesia 👇

#BeritainBola #BeritaBola #BeritaSepakBola #LionelMessi #Fifamatchday #timnasday 

https://t.co/gceuquLoNG"
102,JurnalNgawi,2023-06-13 14:04:06+00:00,"Lionel Messi Batal ke Indonesia Calo Tiket Timnas Indonesia vs Argentina Gigit Jari

#IndonesiaOpen2023 #FIFA23 #Argentina #Messi𓃵 

 https://t.co/igziCcb0ih"
103,beritainbola,2023-06-13 13:43:08+00:00,"BREAKING NEWS!

Lionel Messi batal ke Indonesia untuk laga FIFA Matchday 19 Juni 2023. 

#BeritainBola #BeritaBola #BeritaSepakBola #LionelMessi #Fifamatchday #Timnasday  
https://t.co/gceuquLoNG"
104,liputan6dotcom,2023-06-13 13:04:06+00:00,"Bagaimana tanggapan Erick Thohir terkait kabar Lionel Messi batal datang ke Indonesia dan ikut bertanding di laga FIFA Matchday Indonesia vs Argentina? Selengkapnya....
https://t.co/KIl5i7x4Yk"
